"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SEC31B",124.639186058649,1.21020645131342,0.116386007016148,10.3982126575191,2.52627213255696e-25,1.47661279222235e-24
"CCDC75",121.433229572754,1.22807937117064,0.118140441758787,10.3950802357593,2.61067129825799e-25,1.52526703501864e-24
"NOMO1",4026.89026701961,-0.672790856271737,0.0647511225341375,-10.3904122421512,2.74165531128895e-25,1.60108291315423e-24
"RAI14",1280.5217730139,-0.901532254504676,0.0867801111967165,-10.3886966964245,2.79141271592091e-25,1.62941754233556e-24
"KLHL35",72.80231019516,-1.6264523909541,0.156589336936162,-10.3867378378208,2.84932213280406e-25,1.66248347668882e-24
"EIF4E3",1232.30744976907,0.877196793128402,0.0844595164259481,10.3860030254555,2.87135098169203e-25,1.67459428320834e-24
"SLC25A42",263.265400530466,0.814813830046204,0.0784756341623079,10.3830168273755,2.96262384296534e-25,1.72706012599437e-24
"EBP",593.304658123166,-0.874346612757882,0.0842327564134085,-10.3801258558683,3.0537234966182e-25,1.77937859167709e-24
"ALDH1A3",1276.61077670044,1.63733831606534,0.157802466364633,10.3758727844085,3.19281372755019e-25,1.85960208388244e-24
"PRKD1",220.417578284344,1.29827317745449,0.125135549424441,10.3749348880145,3.2243211045445e-25,1.87712245462712e-24
"NINJ1",2028.5194055827,-0.751749245277466,0.0724668830969881,-10.3736936535733,3.26649286965405e-25,1.90083314072751e-24
"HYAL3",74.3428223533469,-1.10956037583295,0.106969551705503,-10.3726748232775,3.30151640105005e-25,1.92036501931161e-24
